geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Newton County, MO","county",05000US29145,107700,107000,111700,112500
"Nodaway County, MO","county",05000US29147,101800,110100,114500,121600
"Oregon County, MO","county",05000US29149,72400,77200,79400,77800
"Osage County, MO","county",05000US29151,123100,129000,131900,138500
"Ozark County, MO","county",05000US29153,89900,87800,86600,81600
"Pemiscot County, MO","county",05000US29155,64300,65500,65200,70400
"Perry County, MO","county",05000US29157,123100,123200,123400,126200
"Pettis County, MO","county",05000US29159,98200,100100,101400,104800
"Phelps County, MO","county",05000US29161,111700,111800,114500,117700
"Pike County, MO","county",05000US29163,90100,90300,95000,97100
"Platte County, MO","county",05000US29165,184900,186300,190300,196000
"Polk County, MO","county",05000US29167,109800,112700,114600,117700
"Pulaski County, MO","county",05000US29169,121600,126000,129800,141900
"Putnam County, MO","county",05000US29171,100300,85000,82800,86700
"Ralls County, MO","county",05000US29173,108400,109100,112100,120200
"Randolph County, MO","county",05000US29175,84600,85500,85500,89300
"Ray County, MO","county",05000US29177,117600,117700,120200,125700
"Reynolds County, MO","county",05000US29179,86100,84500,85600,82200
"Ripley County, MO","county",05000US29181,76200,74000,80800,82300
"St. Charles County, MO","county",05000US29183,189100,188100,188200,192900
"St. Clair County, MO","county",05000US29185,81600,81400,79600,78100
"Ste. Genevieve County, MO","county",05000US29186,121600,126700,131000,136500
"St. Francois County, MO","county",05000US29187,98900,99600,103500,106100
"St. Louis County, MO","county",05000US29189,174500,173000,173400,176000
"Saline County, MO","county",05000US29195,85700,85500,89700,92800
"Schuyler County, MO","county",05000US29197,73600,84500,86000,80800
"Scotland County, MO","county",05000US29199,70900,72600,75100,77200
"Scott County, MO","county",05000US29201,96600,94300,94300,99500
"Shannon County, MO","county",05000US29203,80300,84200,89400,90400
"Shelby County, MO","county",05000US29205,71500,72000,72600,73100
"Stoddard County, MO","county",05000US29207,83800,87000,90500,89700
"Stone County, MO","county",05000US29209,145000,150500,153100,155500
"Sullivan County, MO","county",05000US29211,74200,77100,78800,78500
"Taney County, MO","county",05000US29213,129100,124400,121700,120100
"Texas County, MO","county",05000US29215,98000,100300,99300,103000
"Vernon County, MO","county",05000US29217,83700,86600,90800,93200
"Warren County, MO","county",05000US29219,151300,151800,152800,158900
"Washington County, MO","county",05000US29221,73000,74500,79700,80400
"Wayne County, MO","county",05000US29223,75100,70500,70000,69600
"Webster County, MO","county",05000US29225,116800,117000,118700,119500
"Worth County, MO","county",05000US29227,57900,60600,57800,58900
"Wright County, MO","county",05000US29229,86700,90100,88200,89800
"St. Louis city, MO","county",05000US29510,119200,118600,120400,120900
"Beaverhead County, MT","county",05000US30001,173400,172800,168800,168000
"Big Horn County, MT","county",05000US30003,89300,88400,88500,96500
"Blaine County, MT","county",05000US30005,76200,78400,82500,86000
"Broadwater County, MT","county",05000US30007,174000,178800,184600,192400
"Carbon County, MT","county",05000US30009,205900,212300,217500,217700
"Carter County, MT","county",05000US30011,82400,81500,87500,86400
"Cascade County, MT","county",05000US30013,157900,159900,162100,165800
"Chouteau County, MT","county",05000US30015,114200,115100,123800,121900
"Custer County, MT","county",05000US30017,112100,123700,137300,145100
"Daniels County, MT","county",05000US30019,96800,102100,112600,119300
"Dawson County, MT","county",05000US30021,122200,147900,156500,158900
"Deer Lodge County, MT","county",05000US30023,117800,124700,130100,122700
"Fallon County, MT","county",05000US30025,106700,122800,143000,151700
"Fergus County, MT","county",05000US30027,113800,120200,121700,119700
"Flathead County, MT","county",05000US30029,228100,226700,231500,236800
"Gallatin County, MT","county",05000US30031,261900,263200,271500,285200
"Garfield County, MT","county",05000US30033,113300,115000,150000,117900
"Glacier County, MT","county",05000US30035,80200,85800,91300,100600
"Golden Valley County, MT","county",05000US30037,89300,86000,95000,94200
"Granite County, MT","county",05000US30039,200500,209000,216300,216000
"Hill County, MT","county",05000US30041,122600,125600,128800,131300
"Jefferson County, MT","county",05000US30043,230100,239500,242300,247900
"Judith Basin County, MT","county",05000US30045,106800,117000,122000,136500
"Lake County, MT","county",05000US30047,218600,218000,220200,226300
"Lewis and Clark County, MT","county",05000US30049,203600,204600,208600,212600
"Liberty County, MT","county",05000US30051,102800,88200,103800,104100
"Lincoln County, MT","county",05000US30053,158200,160500,164400,173900
"McCone County, MT","county",05000US30055,101600,109800,112400,138500
"Madison County, MT","county",05000US30057,239600,230800,237800,240300
"Meagher County, MT","county",05000US30059,115700,123400,139500,122200
"Mineral County, MT","county",05000US30061,167300,171300,169600,166800
"Missoula County, MT","county",05000US30063,237500,237300,239700,243700
"Musselshell County, MT","county",05000US30065,106100,135500,133800,148800
"Park County, MT","county",05000US30067,204500,210100,216900,222500
"Petroleum County, MT","county",05000US30069,83200,76800,78600,83000
"Phillips County, MT","county",05000US30071,86600,95900,121800,118500
"Pondera County, MT","county",05000US30073,99000,105800,111900,116600
"Powder River County, MT","county",05000US30075,105200,99700,107800,108700
"Powell County, MT","county",05000US30077,120900,118300,119500,136600
"Prairie County, MT","county",05000US30079,69800,82900,80900,80600
"Ravalli County, MT","county",05000US30081,233700,233400,239000,238100
"Richland County, MT","county",05000US30083,153000,160700,179700,203700
"Roosevelt County, MT","county",05000US30085,70100,81500,102700,117000
"Rosebud County, MT","county",05000US30087,110900,120200,127900,113200
"Sanders County, MT","county",05000US30089,166500,172100,180800,183100
"Sheridan County, MT","county",05000US30091,109500,121700,143700,144300
"Silver Bow County, MT","county",05000US30093,121900,122100,128100,133700
"Stillwater County, MT","county",05000US30095,185900,189200,202000,213100
"Sweet Grass County, MT","county",05000US30097,192700,195800,191800,217300
"Teton County, MT","county",05000US30099,134700,135600,143800,147900
"Toole County, MT","county",05000US30101,106300,107400,122600,129600
"Treasure County, MT","county",05000US30103,67500,70600,86100,81400
"Valley County, MT","county",05000US30105,102300,110900,122000,143000
"Wheatland County, MT","county",05000US30107,78400,81500,83300,89700
"Wibaux County, MT","county",05000US30109,102700,107900,106100,109600
"Yellowstone County, MT","county",05000US30111,181500,186500,192500,201500
"Adams County, NE","county",05000US31001,98000,101900,104300,110600
"Antelope County, NE","county",05000US31003,74300,77800,78100,78400
"Arthur County, NE","county",05000US31005,76400,85000,100000,102300
"Banner County, NE","county",05000US31007,85000,93300,122100,129200
"Blaine County, NE","county",05000US31009,57200,92000,72500,106500
"Boone County, NE","county",05000US31011,85000,86500,97700,104400
"Box Butte County, NE","county",05000US31013,90000,93000,92000,99500
"Boyd County, NE","county",05000US31015,54500,54100,51700,56200
"Brown County, NE","county",05000US31017,58900,73100,70500,80100
"Buffalo County, NE","county",05000US31019,139800,142800,151300,155900
"Burt County, NE","county",05000US31021,85700,85300,88700,90500
"Butler County, NE","county",05000US31023,99200,101200,100200,108200
"Cass County, NE","county",05000US31025,146700,148300,155900,160900
"Cedar County, NE","county",05000US31027,89100,96300,101400,110500
"Chase County, NE","county",05000US31029,86000,87900,91200,95900
"Cherry County, NE","county",05000US31031,95500,106900,114200,122300
"Cheyenne County, NE","county",05000US31033,104100,108400,113700,114300
"Clay County, NE","county",05000US31035,76100,80100,81100,82100
"Colfax County, NE","county",05000US31037,87900,87200,88300,93100
"Cuming County, NE","county",05000US31039,88300,90700,102500,109200
"Custer County, NE","county",05000US31041,81600,83700,86700,93000
"Dakota County, NE","county",05000US31043,103300,107700,111400,108400
"Dawes County, NE","county",05000US31045,100700,108700,104600,104200
"Dawson County, NE","county",05000US31047,88200,89700,88800,95600
"Deuel County, NE","county",05000US31049,67400,67100,69400,72900
"Dixon County, NE","county",05000US31051,76300,78800,80900,86200
"Dodge County, NE","county",05000US31053,109200,110100,114000,114700
"Douglas County, NE","county",05000US31055,143300,143300,145900,149300
"Dundy County, NE","county",05000US31057,69100,70000,71900,70700
"Fillmore County, NE","county",05000US31059,73300,76700,75700,75000
"Franklin County, NE","county",05000US31061,56200,56100,59900,60400
"Frontier County, NE","county",05000US31063,74200,84000,87400,95000
"Furnas County, NE","county",05000US31065,56400,61400,62300,62500
"Gage County, NE","county",05000US31067,101600,107900,108300,108000
"Garden County, NE","county",05000US31069,61800,73300,75000,83100
"Garfield County, NE","county",05000US31071,86100,84800,89100,92400
"Gosper County, NE","county",05000US31073,104100,104000,108500,113000
"Grant County, NE","county",05000US31075,45600,47200,50800,52500
"Greeley County, NE","county",05000US31077,57500,59300,59600,65600
"Hall County, NE","county",05000US31079,113200,118300,122500,128200
"Hamilton County, NE","county",05000US31081,113300,111600,111600,123200
"Harlan County, NE","county",05000US31083,75100,73800,78200,84400
"Hayes County, NE","county",05000US31085,66100,70900,73500,80500
"Hitchcock County, NE","county",05000US31087,62300,56900,59100,59000
"Holt County, NE","county",05000US31089,90500,94500,95600,96900
"Hooker County, NE","county",05000US31091,63300,72300,70000,77900
"Howard County, NE","county",05000US31093,101200,100600,109200,115100
"Jefferson County, NE","county",05000US31095,70400,68000,71000,76900
"Johnson County, NE","county",05000US31097,75300,76800,76800,80900
"Kearney County, NE","county",05000US31099,96400,100700,109900,119000
"Keith County, NE","county",05000US31101,91500,95000,99700,104600
"Keya Paha County, NE","county",05000US31103,80000,74300,74400,79000
"Kimball County, NE","county",05000US31105,77900,75100,80100,83000
"Knox County, NE","county",05000US31107,74000,79500,81200,84500
"Lancaster County, NE","county",05000US31109,148600,150000,152900,157000
"Lincoln County, NE","county",05000US31111,112800,113100,114200,119600
"Logan County, NE","county",05000US31113,101700,102400,114300,116500
"Loup County, NE","county",05000US31115,71100,75400,96300,119500
"McPherson County, NE","county",05000US31117,142300,132700,133300,147900
"Madison County, NE","county",05000US31119,109000,115300,118300,121900
"Merrick County, NE","county",05000US31121,85300,83900,85600,88300
"Morrill County, NE","county",05000US31123,76300,80600,80600,84700
"Nance County, NE","county",05000US31125,67000,71000,78400,81600
"Nemaha County, NE","county",05000US31127,84400,90200,102200,109200
"Nuckolls County, NE","county",05000US31129,52300,54700,54500,56700
"Otoe County, NE","county",05000US31131,118000,117200,115800,124100
"Pawnee County, NE","county",05000US31133,57200,56700,63800,65900
"Perkins County, NE","county",05000US31135,88500,88300,97700,99400
"Phelps County, NE","county",05000US31137,100700,106400,110000,114300
"Pierce County, NE","county",05000US31139,97000,98500,98500,96900
"Platte County, NE","county",05000US31141,115400,122700,125200,131200
"Polk County, NE","county",05000US31143,95200,97600,103400,102300
"Red Willow County, NE","county",05000US31145,84200,84000,86100,88400
"Richardson County, NE","county",05000US31147,62600,67900,72000,71300
"Rock County, NE","county",05000US31149,65200,63500,70800,67100
"Saline County, NE","county",05000US31151,94400,94800,95700,99100
"Sarpy County, NE","county",05000US31153,162400,162100,163800,167600
"Saunders County, NE","county",05000US31155,147600,147300,150600,155700
"Scotts Bluff County, NE","county",05000US31157,102600,104100,107700,111200
"Seward County, NE","county",05000US31159,142600,142700,147800,154200
"Sheridan County, NE","county",05000US31161,65800,67600,70200,78900
"Sherman County, NE","county",05000US31163,82000,83900,86600,84900
"Sioux County, NE","county",05000US31165,86500,86600,89600,97500
"Stanton County, NE","county",05000US31167,98900,101200,103400,111200
"Thayer County, NE","county",05000US31169,61200,60100,64700,68900
"Thomas County, NE","county",05000US31171,79200,84300,84300,103700
"Thurston County, NE","county",05000US31173,68500,68800,68600,75600
"Valley County, NE","county",05000US31175,78100,77600,84700,89900
"Washington County, NE","county",05000US31177,169700,173500,175800,178000
"Wayne County, NE","county",05000US31179,103200,107800,116100,129100
"Webster County, NE","county",05000US31181,67300,67700,77600,77900
"Wheeler County, NE","county",05000US31183,87100,87400,88100,100500
"York County, NE","county",05000US31185,108500,112600,117600,120800
"Churchill County, NV","county",05000US32001,153300,144900,151000,157800
"Clark County, NV","county",05000US32003,165000,163100,170400,186700
"Douglas County, NV","county",05000US32005,271400,267200,272000,282500
"Elko County, NV","county",05000US32007,184300,183900,184600,197500
"Esmeralda County, NV","county",05000US32009,81400,70900,79800,77900
"Eureka County, NV","county",05000US32011,117400,89300,93100,93800
"Humboldt County, NV","county",05000US32013,147400,152900,159900,165100
"Lander County, NV","county",05000US32015,103300,104700,109500,128200
"Lincoln County, NV","county",05000US32017,140600,139500,128900,130700
"Lyon County, NV","county",05000US32019,133400,129300,131700,143200
"Mineral County, NV","county",05000US32021,95500,84400,83800,85200
"Nye County, NV","county",05000US32023,112600,102300,105900,109100
"Pershing County, NV","county",05000US32027,138100,119900,105200,105100
"Storey County, NV","county",05000US32029,167700,181300,177000,192700
"Washoe County, NV","county",05000US32031,203300,201100,213100,236900
"White Pine County, NV","county",05000US32033,113800,120700,124900,127100
"Carson City County, NV","county",05000US32510,198900,188000,186000,199500
"Belknap County, NH","county",05000US33001,219900,220600,219600,219200
"Carroll County, NH","county",05000US33003,226200,225400,222300,227300
"Cheshire County, NH","county",05000US33005,195400,191200,188800,187300
"Coos County, NH","county",05000US33007,128500,127600,123500,122000
"Grafton County, NH","county",05000US33009,212000,212800,211500,214100
"Hillsborough County, NH","county",05000US33011,249900,245900,245700,248500
"Merrimack County, NH","county",05000US33013,231000,227300,225200,225200
"Rockingham County, NH","county",05000US33015,282100,279800,282500,288300
"Strafford County, NH","county",05000US33017,220600,217900,216500,214000
"Sullivan County, NH","county",05000US33019,171700,170700,171000,171800
"Atlantic County, NJ","county",05000US34001,237400,230200,225600,222200
"Bergen County, NJ","county",05000US34003,451400,443500,441100,443400
"Burlington County, NJ","county",05000US34005,252500,247800,245000,245000
"Camden County, NJ","county",05000US34007,210700,202900,196800,193500
"Cape May County, NJ","county",05000US34009,312800,307000,299700,296100
"Cumberland County, NJ","county",05000US34011,168900,165700,162400,161900
"Essex County, NJ","county",05000US34013,364800,358100,356600,356300
"Gloucester County, NJ","county",05000US34015,224700,219000,214500,213200
"Hudson County, NJ","county",05000US34017,347200,337900,335300,341300
"Hunterdon County, NJ","county",05000US34019,404300,393500,390900,389500
"Mercer County, NJ","county",05000US34021,286900,280400,276500,277400
"Middlesex County, NJ","county",05000US34023,330000,325000,323300,324500
"Monmouth County, NJ","county",05000US34025,389900,386900,385100,387500
"Morris County, NJ","county",05000US34027,432400,426700,423400,428900
"Ocean County, NJ","county",05000US34029,268100,264100,262700,264200
"Passaic County, NJ","county",05000US34031,351000,343100,336100,333400
"Salem County, NJ","county",05000US34033,190200,189300,187800,186200
"Somerset County, NJ","county",05000US34035,398800,396500,399000,404100
"Sussex County, NJ","county",05000US34037,285800,277600,270600,265600
"Union County, NJ","county",05000US34039,362300,353300,345500,347500
"Warren County, NJ","county",05000US34041,271100,261000,255300,254400
"Bernalillo County, NM","county",05000US35001,186800,185500,185500,186500
"Catron County, NM","county",05000US35003,158900,159000,166000,161200
"Chaves County, NM","county",05000US35005,96800,99100,99700,102400
"Cibola County, NM","county",05000US35006,83800,86700,88200,86900
"Colfax County, NM","county",05000US35007,117100,117300,117700,110600
"Curry County, NM","county",05000US35009,119600,129000,125600,125900
"De Baca County, NM","county",05000US35011,79200,84800,67000,70000
"Doña Ana County, NM","county",05000US35013,139100,137300,138100,137300
"Eddy County, NM","county",05000US35015,110400,116200,124800,134100
"Grant County, NM","county",05000US35017,125300,128800,132800,135000
"Guadalupe County, NM","county",05000US35019,88400,81500,82200,84200
"Harding County, NM","county",05000US35021,66300,63800,65500,65800
"Hidalgo County, NM","county",05000US35023,76800,75700,78200,77800
"Lea County, NM","county",05000US35025,97200,101400,108600,111400
"Lincoln County, NM","county",05000US35027,156300,155400,161900,170400
"Los Alamos County, NM","county",05000US35028,284500,280700,274200,274200
"Luna County, NM","county",05000US35029,89800,84700,81900,85300
"McKinley County, NM","county",05000US35031,74900,70600,68300,68000
"Mora County, NM","county",05000US35033,96200,81500,84300,88000
"Otero County, NM","county",05000US35035,102400,101400,101800,105000
"Quay County, NM","county",05000US35037,68900,73000,76300,72600
"Rio Arriba County, NM","county",05000US35039,133300,140900,155900,159100
"Roosevelt County, NM","county",05000US35041,111300,115800,118500,116400
"Sandoval County, NM","county",05000US35043,180900,175800,177400,176700
"San Juan County, NM","county",05000US35045,148700,144100,145400,142500
"San Miguel County, NM","county",05000US35047,116700,117700,121200,123100
"Santa Fe County, NM","county",05000US35049,278400,272700,275200,274800
"Sierra County, NM","county",05000US35051,93900,91100,98800,89900
"Socorro County, NM","county",05000US35053,122800,112500,117800,120200
"Taos County, NM","county",05000US35055,204800,211900,216200,213800
"Torrance County, NM","county",05000US35057,105200,107400,106400,108800
"Union County, NM","county",05000US35059,86500,90200,87400,87600
"Valencia County, NM","county",05000US35061,133600,133500,131900,133100
"Albany County, NY","county",05000US36001,209300,208600,208400,211100
"Allegany County, NY","county",05000US36003,69600,69100,70300,72100
"Bronx County, NY","county",05000US36005,374500,366400,363400,363600
"Broome County, NY","county",05000US36007,107900,108300,109900,112300
"Cattaraugus County, NY","county",05000US36009,81100,83000,84600,85100
"Cayuga County, NY","county",05000US36011,106600,109000,113600,117800
"Chautauqua County, NY","county",05000US36013,83500,84100,84500,85500
"Chemung County, NY","county",05000US36015,94300,97800,100400,101800
"Chenango County, NY","county",05000US36017,90600,91800,91700,93400
"Clinton County, NY","county",05000US36019,122900,125200,124200,127500
"Columbia County, NY","county",05000US36021,221600,222800,222100,222300
"Cortland County, NY","county",05000US36023,105700,105200,108200,111400
"Delaware County, NY","county",05000US36025,133200,133600,132400,135200
"Dutchess County, NY","county",05000US36027,289400,282100,275600,274300
"Erie County, NY","county",05000US36029,124300,126700,130000,134600
"Essex County, NY","county",05000US36031,146600,145800,145100,144100
"Franklin County, NY","county",05000US36033,97100,98500,101600,100900
"Fulton County, NY","county",05000US36035,106000,107500,108200,108300
"Genesee County, NY","county",05000US36037,105000,105200,107000,108700
"Greene County, NY","county",05000US36039,183300,174200,177700,175900
"Hamilton County, NY","county",05000US36041,164700,163100,162600,165500
"Herkimer County, NY","county",05000US36043,92500,95100,96100,97300
"Jefferson County, NY","county",05000US36045,131800,135200,141000,144400
"Kings County, NY","county",05000US36047,557100,557500,570200,590500
"Lewis County, NY","county",05000US36049,107200,111900,117300,122000
"Livingston County, NY","county",05000US36051,119300,119200,121200,123000
"Madison County, NY","county",05000US36053,121100,122400,124900,128000
"Monroe County, NY","county",05000US36055,136000,136600,138600,140200
"Montgomery County, NY","county",05000US36057,101200,101100,101600,99100
"Nassau County, NY","county",05000US36059,454500,447700,446400,451700
"New York County, NY","county",05000US36061,828100,838400,848700,871500
"Niagara County, NY","county",05000US36063,105200,106700,108000,111500
"Oneida County, NY","county",05000US36065,110500,111900,114000,117600
"Onondaga County, NY","county",05000US36067,132300,134200,135900,137000
"Ontario County, NY","county",05000US36069,138100,140100,145700,148400
"Orange County, NY","county",05000US36071,276900,268500,262500,258700
"Orleans County, NY","county",05000US36073,91100,91300,91300,92000
"Oswego County, NY","county",05000US36075,93000,92900,94800,96000
"Otsego County, NY","county",05000US36077,137900,139000,142800,140600
"Putnam County, NY","county",05000US36079,372200,362400,354900,354800
"Queens County, NY","county",05000US36081,450900,446800,450300,462300
"Rensselaer County, NY","county",05000US36083,178200,177700,179100,180700
"Richmond County, NY","county",05000US36085,441000,439600,439500,448000
"Rockland County, NY","county",05000US36087,435300,424400,419100,420700
"St. Lawrence County, NY","county",05000US36089,84400,86200,87600,87400
"Saratoga County, NY","county",05000US36091,230700,230900,232900,238600
"Schenectady County, NY","county",05000US36093,166500,166900,165800,165000
"Schoharie County, NY","county",05000US36095,146000,146200,147000,143700
"Schuyler County, NY","county",05000US36097,94400,99700,108500,111300
"Seneca County, NY","county",05000US36099,94400,95400,97000,98200
"Steuben County, NY","county",05000US36101,86800,89800,91000,94300
"Suffolk County, NY","county",05000US36103,383400,376800,375100,376000
"Sullivan County, NY","county",05000US36105,172100,168800,165900,165900
"Tioga County, NY","county",05000US36107,108400,110500,112600,112300
"Tompkins County, NY","county",05000US36109,169200,171000,176500,182600
"Ulster County, NY","county",05000US36111,232400,226600,222800,219800
"Warren County, NY","county",05000US36113,189400,191800,189700,191500
"Washington County, NY","county",05000US36115,148300,144100,142700,143900
"Wayne County, NY","county",05000US36117,109300,110400,112900,115100
"Westchester County, NY","county",05000US36119,518400,509200,506900,507300
"Wyoming County, NY","county",05000US36121,100200,101800,102000,104200
"Yates County, NY","county",05000US36123,118200,121600,124200,126900
"Alamance County, NC","county",05000US37001,137000,135800,138100,143500
"Alexander County, NC","county",05000US37003,121300,120700,124600,125500
"Alleghany County, NC","county",05000US37005,156100,145500,146600,140700
"Anson County, NC","county",05000US37007,79400,78700,76900,79900
"Ashe County, NC","county",05000US37009,150900,151300,151500,143700
"Avery County, NC","county",05000US37011,140800,144700,137100,130900
"Beaufort County, NC","county",05000US37013,117000,116600,115100,122100
"Bertie County, NC","county",05000US37015,79100,79300,78400,79900
"Bladen County, NC","county",05000US37017,81800,86100,85000,85700
"Brunswick County, NC","county",05000US37019,186600,179800,182500,189500
"Buncombe County, NC","county",05000US37021,191200,189500,192400,198100
"Burke County, NC","county",05000US37023,110900,111700,113100,113600
"Cabarrus County, NC","county",05000US37025,167800,167700,167100,171000
"Caldwell County, NC","county",05000US37027,105800,107000,108100,108900
"Camden County, NC","county",05000US37029,220200,216000,209800,216600
"Carteret County, NC","county",05000US37031,199200,193500,196800,197600
"Caswell County, NC","county",05000US37033,98900,97700,98400,99500
"Catawba County, NC","county",05000US37035,133000,133100,132700,137600
"Chatham County, NC","county",05000US37037,211400,219000,223500,243900
"Cherokee County, NC","county",05000US37039,145000,137800,142600,140700
"Chowan County, NC","county",05000US37041,129100,138000,135900,131500
"Clay County, NC","county",05000US37043,154700,146400,147900,145800
"Cleveland County, NC","county",05000US37045,106100,104100,104400,108100
"Columbus County, NC","county",05000US37047,84500,83600,83900,84800
"Craven County, NC","county",05000US37049,152400,153500,154500,154000
"Cumberland County, NC","county",05000US37051,128700,128600,129300,129000
"Currituck County, NC","county",05000US37053,223800,223600,229900,227400
"Dare County, NC","county",05000US37055,293900,284400,283400,283000
"Davidson County, NC","county",05000US37057,134000,131500,132200,132000
"Davie County, NC","county",05000US37059,162100,164100,169300,169300
"Duplin County, NC","county",05000US37061,87600,86000,87900,88200
"Durham County, NC","county",05000US37063,180600,180200,183800,186800
"Edgecombe County, NC","county",05000US37065,80600,81700,82200,82200
"Forsyth County, NC","county",05000US37067,150600,150300,151100,151300
"Franklin County, NC","county",05000US37069,123300,127200,129500,134500
"Gaston County, NC","county",05000US37071,123600,124000,125100,126000
"Gates County, NC","county",05000US37073,150200,144500,144300,136800
"Graham County, NC","county",05000US37075,125700,122300,120700,122300
"Granville County, NC","county",05000US37077,137100,137800,142600,141200
"Greene County, NC","county",05000US37079,88500,86100,87700,88300
"Guilford County, NC","county",05000US37081,156000,155500,156100,157300
"Halifax County, NC","county",05000US37083,86100,86400,86600,87700
"Harnett County, NC","county",05000US37085,132600,133400,135400,140800
"Haywood County, NC","county",05000US37087,156900,157200,161300,165800
"Henderson County, NC","county",05000US37089,185500,181600,182300,185800
"Hertford County, NC","county",05000US37091,84200,81300,83000,86900
"Hoke County, NC","county",05000US37093,141300,143500,141500,134100
"Hyde County, NC","county",05000US37095,76400,80500,90600,75600
"Iredell County, NC","county",05000US37097,166700,168000,166300,169300
"Jackson County, NC","county",05000US37099,172800,173200,171900,172800
"Johnston County, NC","county",05000US37101,141200,143500,145500,147500
"Jones County, NC","county",05000US37103,97600,97300,93900,91000
"Lee County, NC","county",05000US37105,131300,132900,136900,134800
"Lenoir County, NC","county",05000US37107,94200,92600,92500,93400
"Lincoln County, NC","county",05000US37109,154600,152700,153200,153500
"McDowell County, NC","county",05000US37111,101200,101300,98400,104500
"Macon County, NC","county",05000US37113,165400,166800,165600,167500
"Madison County, NC","county",05000US37115,161700,158100,159900,162500
"Martin County, NC","county",05000US37117,84600,86200,85500,84000
"Mecklenburg County, NC","county",05000US37119,181900,181800,184800,192700
"Mitchell County, NC","county",05000US37121,117300,122500,141100,143500
"Montgomery County, NC","county",05000US37123,88900,88600,90900,95700
"Moore County, NC","county",05000US37125,201600,199000,199100,205300
"Nash County, NC","county",05000US37127,117300,119200,118600,120500
"New Hanover County, NC","county",05000US37129,215200,212300,214300,215800
"Northampton County, NC","county",05000US37131,80000,82800,82500,81000
"Onslow County, NC","county",05000US37133,151700,154100,154000,153300
"Orange County, NC","county",05000US37135,272600,272700,272600,281700
"Pamlico County, NC","county",05000US37137,157500,159700,150800,147200
"Pasquotank County, NC","county",05000US37139,171600,162800,158800,156400
"Pender County, NC","county",05000US37141,155600,154500,153400,160300
"Perquimans County, NC","county",05000US37143,170700,163000,165800,165000
"Person County, NC","county",05000US37145,118800,113600,115500,116000
"Pitt County, NC","county",05000US37147,134900,133400,135300,135000
"Polk County, NC","county",05000US37149,170200,173600,190700,208000
"Randolph County, NC","county",05000US37151,121900,119400,120700,118900
"Richmond County, NC","county",05000US37153,77500,79500,78600,80500
"Robeson County, NC","county",05000US37155,66800,67600,70200,71000
"Rockingham County, NC","county",05000US37157,102900,105600,106700,107200
"Rowan County, NC","county",05000US37159,130200,128700,128300,130500
"Rutherford County, NC","county",05000US37161,108600,106500,106600,107600
"Sampson County, NC","county",05000US37163,89200,87700,87600,87900
"Scotland County, NC","county",05000US37165,77100,78700,79100,83200
"Stanly County, NC","county",05000US37167,125100,128000,128200,129300
"Stokes County, NC","county",05000US37169,118100,116700,117400,120900
"Surry County, NC","county",05000US37171,109900,114100,115500,119300
"Swain County, NC","county",05000US37173,132500,123100,126700,121900
"Transylvania County, NC","county",05000US37175,171600,181300,192000,203100
"Tyrrell County, NC","county",05000US37177,107100,101800,98800,112400
"Union County, NC","county",05000US37179,194300,193500,197400,206000
"Vance County, NC","county",05000US37181,99600,99800,97900,96700
"Wake County, NC","county",05000US37183,229000,229200,234000,241600
"Warren County, NC","county",05000US37185,98300,97400,96400,95100
"Washington County, NC","county",05000US37187,89000,82600,82700,82400
"Watauga County, NC","county",05000US37189,228700,225600,231700,230700
"Wayne County, NC","county",05000US37191,108600,108000,110400,114200
"Wilkes County, NC","county",05000US37193,111700,110500,114800,119100
"Wilson County, NC","county",05000US37195,111500,114700,116300,117100
"Yadkin County, NC","county",05000US37197,121100,120300,124400,126900
"Yancey County, NC","county",05000US37199,135100,142800,140500,140500
"Adams County, ND","county",05000US38001,106300,111900,126100,124000
"Barnes County, ND","county",05000US38003,87900,92000,97600,96700
"Benson County, ND","county",05000US38005,52800,54500,63600,65400
"Billings County, ND","county",05000US38007,108900,122500,145300,167200
"Bottineau County, ND","county",05000US38009,84200,94000,116800,128000
"Bowman County, ND","county",05000US38011,115100,128700,135000,145700
"Burke County, ND","county",05000US38013,77900,98400,110100,116400
"Burleigh County, ND","county",05000US38015,172800,182300,199200,220800
"Cass County, ND","county",05000US38017,158900,164600,172100,183800
"Cavalier County, ND","county",05000US38019,68700,68000,86700,90500
"Dickey County, ND","county",05000US38021,76700,83800,92000,105500
"Divide County, ND","county",05000US38023,72200,88200,100400,115800
"Dunn County, ND","county",05000US38025,104800,118700,146400,162700
"Eddy County, ND","county",05000US38027,58800,64300,68500,70900
"Emmons County, ND","county",05000US38029,70200,72700,79900,84900
"Foster County, ND","county",05000US38031,88700,91500,96300,110400
"Golden Valley County, ND","county",05000US38033,83800,95000,107000,115700
"Grand Forks County, ND","county",05000US38035,152100,154000,160600,168900
"Grant County, ND","county",05000US38037,67200,71900,75100,80600
"Griggs County, ND","county",05000US38039,61900,73500,83600,85800
"Hettinger County, ND","county",05000US38041,74400,86600,95700,106000
"Kidder County, ND","county",05000US38043,71500,76700,87600,100100
"LaMoure County, ND","county",05000US38045,76500,81800,85200,87300
"Logan County, ND","county",05000US38047,58600,66100,71000,72300
"McHenry County, ND","county",05000US38049,77300,89200,107700,118100
"McIntosh County, ND","county",05000US38051,55600,57200,62800,67900
"McKenzie County, ND","county",05000US38053,123800,170800,198400,202800
