geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Windsor County, VT","county",05000US50027,216300,213300,216300,215800
"Accomack County, VA","county",05000US51001,153600,152500,153300,151900
"Albemarle County, VA","county",05000US51003,319200,317300,313800,317300
"Alleghany County, VA","county",05000US51005,114600,111600,112000,111500
"Amelia County, VA","county",05000US51007,180700,179300,170800,171500
"Amherst County, VA","county",05000US51009,148700,149000,150100,149400
"Appomattox County, VA","county",05000US51011,145400,137100,148200,149600
"Arlington County, VA","county",05000US51013,584600,594800,607700,623300
"Augusta County, VA","county",05000US51015,194600,197600,197400,199700
"Bath County, VA","county",05000US51017,152600,151200,153700,146400
"Bedford County, VA","county",05000US51019,195400,196500,196500,196900
"Bland County, VA","county",05000US51021,95200,94100,100300,102200
"Botetourt County, VA","county",05000US51023,213100,210300,208500,209700
"Brunswick County, VA","county",05000US51025,105600,104200,105200,109100
"Buchanan County, VA","county",05000US51027,68200,68700,71500,70500
"Buckingham County, VA","county",05000US51029,128800,128300,131800,123800
"Campbell County, VA","county",05000US51031,150300,151000,151500,152600
"Caroline County, VA","county",05000US51033,188400,188000,186800,189000
"Carroll County, VA","county",05000US51035,102900,106100,107900,109400
"Charles City County, VA","county",05000US51036,147500,154600,159600,163400
"Charlotte County, VA","county",05000US51037,98900,97700,94300,99900
"Chesterfield County, VA","county",05000US51041,226500,219800,216800,218700
"Clarke County, VA","county",05000US51043,342500,337700,329500,333000
"Craig County, VA","county",05000US51045,136500,146100,153000,153700
"Culpeper County, VA","county",05000US51047,250600,243400,251600,255000
"Cumberland County, VA","county",05000US51049,142400,133100,137800,139900
"Dickenson County, VA","county",05000US51051,75700,72400,74100,72700
"Dinwiddie County, VA","county",05000US51053,165300,159300,155300,153800
"Essex County, VA","county",05000US51057,160800,158100,164400,166200
"Fairfax County, VA","county",05000US51059,476600,486900,501200,516800
"Fauquier County, VA","county",05000US51061,350600,351900,357200,363800
"Floyd County, VA","county",05000US51063,144700,153700,155300,153700
"Fluvanna County, VA","county",05000US51065,225700,214000,215600,222500
"Franklin County, VA","county",05000US51067,163700,163000,168400,167900
"Frederick County, VA","county",05000US51069,226900,223300,225300,231400
"Giles County, VA","county",05000US51071,105300,107700,104700,105300
"Gloucester County, VA","county",05000US51073,228700,225400,224100,225100
"Goochland County, VA","county",05000US51075,338500,324800,318400,302600
"Grayson County, VA","county",05000US51077,97900,93200,91500,91500
"Greene County, VA","county",05000US51079,237500,244400,241800,241000
"Greensville County, VA","county",05000US51081,99600,100400,99800,95900
"Halifax County, VA","county",05000US51083,106600,106100,104700,109200
"Hanover County, VA","county",05000US51085,262000,257600,255400,258900
"Henrico County, VA","county",05000US51087,219900,217300,216300,216400
"Henry County, VA","county",05000US51089,94600,94600,95400,95500
"Highland County, VA","county",05000US51091,171700,181100,169100,160800
"Isle of Wight County, VA","county",05000US51093,249600,245400,243000,244600
"James City County, VA","county",05000US51095,327100,320000,319100,318700
"King and Queen County, VA","county",05000US51097,154200,173300,155800,170000
"King George County, VA","county",05000US51099,278900,280900,282500,288000
"King William County, VA","county",05000US51101,199700,201400,198500,200100
"Lancaster County, VA","county",05000US51103,233400,222200,229100,227000
"Lee County, VA","county",05000US51105,74300,75400,78400,78600
"Loudoun County, VA","county",05000US51107,437700,443100,452300,462100
"Louisa County, VA","county",05000US51109,197700,194500,193700,202100
"Lunenburg County, VA","county",05000US51111,100400,104200,106600,109200
"Madison County, VA","county",05000US51113,240900,237200,241200,241300
"Mathews County, VA","county",05000US51115,238500,263700,250900,232000
"Mecklenburg County, VA","county",05000US51117,120900,123700,125400,123300
"Middlesex County, VA","county",05000US51119,247100,241600,245800,248800
"Montgomery County, VA","county",05000US51121,200200,201100,205100,202900
"Nelson County, VA","county",05000US51125,192900,198500,212000,231500
"New Kent County, VA","county",05000US51127,253700,247800,245000,249100
"Northampton County, VA","county",05000US51131,168800,162500,160900,164600
"Northumberland County, VA","county",05000US51133,239000,241500,242000,256400
"Nottoway County, VA","county",05000US51135,137600,128800,132900,125500
"Orange County, VA","county",05000US51137,230500,229000,231200,236100
