fips2010,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,cntyname,pop2010,hu2010,state_alpha
5108799999,924,970,1114,1482,1800,Henrico County,306935,132778,VA
5108999999,544,547,684,935,946,Henry County,54151,26268,VA
5109199999,500,557,684,907,1073,Highland County,2321,1837,VA
5109399999,970,976,1172,1640,2047,Isle of Wight County,35270,14633,VA
5109599999,970,976,1172,1640,2047,James City County,67009,29797,VA
5109799999,747,833,1022,1281,1603,King and Queen County,6945,3414,VA
5109999999,829,934,1134,1519,1997,King George County,23584,9477,VA
5110199999,924,970,1114,1482,1800,King William County,15935,6522,VA
5110399999,731,815,1000,1357,1362,Lancaster County,11391,7402,VA
5110599999,500,596,684,928,932,Lee County,25587,11745,VA
5110799999,1504,1561,1793,2353,2902,Loudoun County,312311,109442,VA
5110999999,741,824,1014,1448,1786,Louisa County,33153,16319,VA
5111199999,552,615,755,1018,1129,Lunenburg County,12914,5935,VA
5111399999,714,851,977,1258,1430,Madison County,13308,5932,VA
5111599999,970,976,1172,1640,2047,Mathews County,8978,5669,VA
5111799999,562,654,769,964,1275,Mecklenburg County,32727,18591,VA
5111999999,802,826,1098,1377,1495,Middlesex County,10959,7133,VA
5112199999,709,819,941,1369,1657,Montgomery County,94392,38569,VA
5112599999,811,1107,1271,1594,1910,Nelson County,15020,9931,VA
5112799999,924,970,1114,1482,1800,New Kent County,18429,7295,VA
5113199999,650,689,890,1116,1212,Northampton County,12389,7301,VA
5113399999,624,642,854,1242,1339,Northumberland County,12330,8995,VA
5113599999,626,745,856,1214,1508,Nottoway County,15853,6650,VA
5113799999,661,787,905,1316,1561,Orange County,33481,14616,VA
5113999999,581,675,795,1102,1242,Page County,24042,11600,VA
5114199999,500,596,684,935,1013,Patrick County,18490,10083,VA
5114399999,523,546,715,954,1259,Pittsylvania County,63506,31307,VA
5114599999,924,970,1114,1482,1800,Powhatan County,28046,10043,VA
5114799999,670,689,917,1150,1249,Prince Edward County,23368,9149,VA
5114999999,924,970,1114,1482,1800,Prince George County,35725,12056,VA
5115399999,1504,1561,1793,2353,2902,Prince William County,402002,137115,VA
5115599999,574,615,706,939,1243,Pulaski County,34872,17235,VA
5115799999,875,880,1171,1468,1905,Rappahannock County,7373,3839,VA
5115999999,643,662,880,1139,1380,Richmond County,9254,3850,VA
5116199999,590,719,912,1253,1381,Roanoke County,92376,40016,VA
5116399999,581,721,837,1070,1474,Rockbridge County,22307,11152,VA
5116599999,692,696,892,1207,1571,Rockingham County,76314,33660,VA
5116799999,500,596,684,858,932,Russell County,28897,13484,VA
5116999999,511,520,692,914,994,Scott County,23177,11916,VA
5117199999,552,650,865,1214,1401,Shenandoah County,41993,20876,VA
5117399999,500,551,684,879,950,Smyth County,32208,15427,VA
5117599999,699,704,864,1137,1521,Southampton County,18570,7473,VA
5117799999,1504,1561,1793,2353,2902,Spotsylvania County,122397,45185,VA
5117999999,1504,1561,1793,2353,2902,Stafford County,128961,43978,VA
5118199999,547,610,748,992,1173,Surry County,7058,3444,VA
5118399999,924,970,1114,1482,1800,Sussex County,12087,4696,VA
5118599999,520,571,711,892,1115,Tazewell County,45078,20826,VA
5118799999,810,816,1085,1578,1681,Warren County,37575,16034,VA
5119199999,511,520,692,914,994,Washington County,54876,25601,VA
5119399999,648,722,886,1289,1553,Westmoreland County,17454,10618,VA
5119599999,512,536,700,878,993,Wise County,41452,17940,VA
5119799999,530,545,725,909,1088,Wythe County,29235,14079,VA
5119999999,970,976,1172,1640,2047,York County,65464,26849,VA
5151099999,1504,1561,1793,2353,2902,Alexandria city,139966,72376,VA
5151599999,608,680,848,1154,1370,Bedford city,6222,2920,VA
5152099999,511,520,692,914,994,Bristol city,17835,8831,VA
5153099999,581,721,837,1070,1474,Buena Vista city,6650,2936,VA
5154099999,811,1107,1271,1594,1910,Charlottesville city,43475,19189,VA
5155099999,970,976,1172,1640,2047,Chesapeake city,222209,83196,VA
5157099999,924,970,1114,1482,1800,Colonial Heights city,17411,7831,VA
5158099999,523,570,716,972,975,Covington city,5961,3067,VA
5159099999,523,546,715,954,1259,Danville city,43055,22438,VA
5159599999,601,619,823,1128,1291,Emporia city,5927,2565,VA
5160099999,1504,1561,1793,2353,2902,Fairfax city,22565,8680,VA
5161099999,1504,1561,1793,2353,2902,Falls Church city,12332,5489,VA
5162099999,699,704,864,1137,1521,Franklin city,8582,3901,VA
5163099999,1504,1561,1793,2353,2902,Fredericksburg city,24286,10467,VA
5164099999,500,596,684,966,1073,Galax city,7042,3252,VA
5165099999,970,976,1172,1640,2047,Hampton city,137436,59566,VA
5166099999,692,696,892,1207,1571,Harrisonburg city,48914,17444,VA
5167099999,924,970,1114,1482,1800,Hopewell city,22591,10121,VA
5167899999,581,721,837,1070,1474,Lexington city,7042,2546,VA
5168099999,608,680,848,1154,1370,Lynchburg city,75568,31992,VA
5168399999,1504,1561,1793,2353,2902,Manassas city,37821,13123,VA
5168599999,1504,1561,1793,2353,2902,Manassas Park city,14273,4904,VA
5169099999,544,547,684,935,946,Martinsville city,13821,7205,VA
5170099999,970,976,1172,1640,2047,Newport News city,180719,76198,VA
5171099999,970,976,1172,1640,2047,Norfolk city,242803,95018,VA
5172099999,512,536,700,878,993,Norton city,3958,1945,VA
5173099999,924,970,1114,1482,1800,Petersburg city,32420,16326,VA
5173599999,970,976,1172,1640,2047,Poquoson city,12150,4726,VA
5174099999,970,976,1172,1640,2047,Portsmouth city,95535,40806,VA
5175099999,709,819,941,1369,1657,Radford city,16408,6427,VA
5176099999,924,970,1114,1482,1800,Richmond city,204214,98349,VA
5177099999,590,719,912,1253,1381,Roanoke city,97032,47453,VA
5177599999,590,719,912,1253,1381,Salem city,24802,10832,VA
5179099999,696,700,912,1240,1242,Staunton city,23746,11738,VA
5180099999,970,976,1172,1640,2047,Suffolk city,84585,33035,VA
5181099999,970,976,1172,1640,2047,Virginia Beach city,437994,177879,VA
5182099999,696,700,912,1240,1242,Waynesboro city,21006,9717,VA
5183099999,970,976,1172,1640,2047,Williamsburg city,14068,5176,VA
5184099999,760,765,1018,1437,1793,Winchester city,26203,11872,VA
5300199999,452,607,697,975,1107,Adams County,18728,6242,WA
5300399999,542,620,825,1075,1343,Asotin County,21623,9872,WA
5300599999,605,742,916,1253,1613,Benton County,175177,68618,WA
5300799999,668,729,970,1321,1399,Chelan County,72453,35465,WA
5300999999,596,702,934,1358,1405,Clallam County,71404,35582,WA
5301199999,1117,1232,1448,2106,2550,Clark County,425363,167413,WA
5301399999,579,647,860,1151,1171,Columbia County,4078,2136,WA
5301599999,595,719,901,1311,1587,Cowlitz County,102410,43450,WA
5301799999,668,729,970,1321,1399,Douglas County,38431,16004,WA
5301999999,497,576,766,967,1052,Ferry County,7551,4403,WA
5302199999,605,742,916,1253,1613,Franklin County,78163,24423,WA
5302399999,452,571,698,1015,1229,Garfield County,2266,1233,WA
5302599999,514,615,771,1045,1133,Grant County,89120,35083,WA
5302799999,516,598,777,1121,1290,Grays Harbor County,72797,35166,WA
5302999999,773,850,1052,1530,1739,Island County,78506,40234,WA
5303199999,639,753,1001,1441,1696,Jefferson County,29872,17767,WA
5303399999,1456,1633,2006,2904,3438,King County,1931249,851261,WA
5303599999,767,933,1203,1709,2010,Kitsap County,251133,107367,WA
5303799999,568,670,891,1296,1569,Kittitas County,40915,21900,WA
5303999999,657,661,879,1184,1405,Klickitat County,20318,9786,WA
5304199999,555,654,870,1181,1318,Lewis County,75455,34050,WA
5304399999,452,524,697,960,1149,Lincoln County,10570,5776,WA
5304599999,626,738,981,1275,1346,Mason County,60699,32518,WA
5304799999,486,616,749,958,1256,Okanogan County,41120,22245,WA
5304999999,572,674,896,1123,1273,Pacific County,20920,15547,WA
5305199999,518,611,812,1181,1263,Pend Oreille County,13001,7936,WA
5305399999,821,936,1216,1769,2142,Pierce County,795225,325375,WA
5305599999,843,908,1207,1638,1644,San Juan County,15769,13313,WA
5305799999,694,794,1030,1450,1628,Skagit County,116901,51473,WA
5305999999,1117,1232,1448,2106,2550,Skamania County,11066,5628,WA
5306199999,1456,1633,2006,2904,3438,Snohomish County,713335,286659,WA
5306399999,553,652,867,1240,1431,Spokane County,471221,201434,WA
5306599999,536,612,785,1088,1117,Stevens County,43531,21156,WA
5306799999,916,972,1204,1751,2121,Thurston County,252264,108182,WA
5306999999,458,546,707,1028,1165,Wahkiakum County,3978,2067,WA
5307199999,624,701,932,1356,1482,Walla Walla County,58781,23451,WA
5307399999,745,832,1083,1575,1907,Whatcom County,201140,90665,WA
5307599999,586,646,813,1183,1432,Whitman County,44776,19323,WA
5307799999,608,704,912,1244,1416,Yakima County,243231,85474,WA
5400199999,440,491,644,810,1016,Barbour County,16589,7849,WV
5400399999,685,805,966,1390,1701,Berkeley County,104169,44762,WV
5400599999,411,484,644,807,884,Boone County,24629,11070,WV
5400799999,545,561,644,922,1042,Braxton County,14523,7415,WV
5400999999,468,581,723,923,985,Brooke County,24069,10967,WV
5401199999,504,618,748,1007,1219,Cabell County,96319,46169,WV
5401399999,501,504,644,807,931,Calhoun County,7627,3963,WV
5401599999,533,688,835,1047,1146,Clay County,9386,4572,WV
5401799999,509,512,681,981,985,Doddridge County,8202,3946,WV
5401999999,518,521,679,910,1144,Fayette County,46039,21618,WV
5402199999,528,554,648,879,883,Gilmer County,8693,3448,WV
5402399999,576,616,707,886,1245,Grant County,11937,6366,WV
5402599999,475,643,738,960,1043,Greenbrier County,35480,18980,WV
5402799999,760,765,1018,1437,1793,Hampshire County,23964,13688,WV
5402999999,468,581,723,923,985,Hancock County,30676,14541,WV
5403199999,524,528,692,908,1001,Hardy County,14025,8078,WV
5403399999,649,655,767,984,1141,Harrison County,69099,31431,WV
5403599999,546,584,671,885,1182,Jackson County,29211,13305,WV
5403799999,776,781,939,1366,1654,Jefferson County,53498,22037,WV
5403999999,533,688,835,1047,1146,Kanawha County,193063,92618,WV
5404199999,584,586,717,899,1082,Lewis County,16372,7958,WV
5404399999,448,519,644,886,889,Lincoln County,21720,9887,WV
5404599999,503,522,675,846,956,Logan County,36743,16743,WV
5404799999,524,561,644,807,946,McDowell County,22113,11322,WV
5404999999,625,629,822,1031,1448,Marion County,56418,26463,WV
5405199999,580,583,713,910,1045,Marshall County,33107,15918,WV
5405399999,524,561,644,937,1044,Mason County,27324,13006,WV
5405599999,520,562,684,892,1106,Mercer County,62264,30115,WV
5405799999,527,606,697,957,1228,Mineral County,28212,13039,WV
5405999999,469,553,735,922,1063,Mingo County,26839,12699,WV
5406199999,744,765,879,1174,1197,Monongalia County,96189,43238,WV
5406399999,540,558,663,831,903,Monroe County,13502,7601,WV
5406599999,504,688,790,1051,1076,Morgan County,17541,9753,WV
